addr_zip,addr_zip_average_income
10001,183859.90873533246
10002,59669.40174982265
10003,306277.9620034542
10004,385265.306122449
10005,391201.5202702703
10006,203170.44534412955
10007,693379.9450549451
10009,87208.04527378404
10010,245635.68985176738
10011,304989.9635640941
10012,287537.4003189793
10013,490137.51651254954
10014,311456.73076923075
10016,257304.64547677262
10017,489890.9465020576
10018,359070.5710102489
10019,283732.6213592233
10021,618350.8779443254
10022,601535.8872960949
10023,401123.72093023255
10024,398912.21349050425
10025,163148.53966870095
10026,74229.34131736527
10027,65994.70461095101
10028,418041.4643696163
10029,53973.675310033825
10030,45009.01225666907
10031,44018.077183480025
10032,41447.23259762309
10033,48294.669117647056
10034,48373.96301849076
10035,49289.429312581065
10036,302229.54545454547
10037,51283.895131086145
10038,142428.82165605095
10039,42130.32786885246
10040,46339.13043478261
10044,101280.04587155963
10065,662741.4572864322
10069,581151.475409836
10075,513437.8057302586
10128,388963.87387387385
10162,278202.6666666667
10280,220713.9150943396
10282,621400.8368200837
10301,72114.8087431694
10302,52934.90909090909
10303,45921.72164119067
10304,72829.72304648862
10305,63467.107942973525
10306,78081.54914139569
10307,110983.38368580061
10308,79539.13043478261
10309,90039.42370661428
10310,64406.293103448275
10312,84635.53971486761
10314,72755.74168487497
10451,33871.57894736842
10452,28857.890455531455
10453,27581.542056074766
10454,28845.92731829574
10455,29715.597345132745
10456,27855.484974346444
10457,28119.5724179464
10458,30181.23556581986
10459,29996.483109671448
10460,30009.787234042553
10461,54079.19901920719
10462,43342.336495257114
10463,67481.47067405895
10464,91165.59633027524
10465,63325.08833922262
10466,40457.022302591926
10467,35974.383802816905
10468,31476.982591876207
10469,46867.05308114704
10470,53817.117117117115
10471,129770.82917082917
10472,31537.8453038674
10473,40417.30431730432
10474,29988.07157057654
10475,49135.27114967462
10501,197256.71641791044
10502,184234.8432055749
10504,532573.0952380953
10505,119536.48648648648
10506,415087.41007194243
10507,240280.66914498142
10509,90765.4037886341
10510,339488.79668049794
10511,81464.10256410256
10512,90039.84126984127
10514,551108.1180811808
10516,125563.00366300366
10518,198989.33333333334
10520,141260.24844720497
10522,160707.60667903526
10523,77971.10655737705
10524,157168.75
10526,166814.0
10527,151819.5652173913
10528,257113.56783919598
10530,134729.63988919667
10532,108855.59845559846
10533,284827.73333333334
10535,68647.5
10536,317828.7109375
10537,66431.74603174604
10538,434844.4171779141
10541,94794.21875
10543,191251.49023638232
10546,213724.2857142857
10547,87148.51752021564
10548,87795.75757575757
10549,235619.75757575757
10550,40164.84135107472
10552,80144.68468468469
10553,51714.98316498317
10560,205972.47706422018
10562,88293.84328358209
10566,57701.77562550444
10567,114782.63959390864
10570,191763.47107438016
10573,103445.35433070867
10576,364303.22580645164
10577,995287.0967741936
10578,98920.45454545454
10579,106649.88558352402
10580,633060.024600246
10583,403384.84688489966
10588,91338.34586466165
10589,129909.34782608696
10590,180532.70440251572
10591,133243.47464671655
10594,126736.64122137404
10595,140035.5623100304
10597,345496.07843137253
10598,141108.75763747454
10601,192696.568627451
10603,84740.60301507538
10604,145392.14659685863
10605,168157.66208251473
10606,90695.94272076372
10607,101696.79802955665
10701,49620.33378746594
10703,56155.90405904059
10704,67092.34813084113
10705,49531.62666666666
10706,183285.93406593407
10707,125134.67432950191
10708,311000.34512510785
10709,150495.06172839506
10710,81617.70098730606
10801,72525.74786324786
10803,277759.0538336052
10804,254568.17538896747
10805,71273.72972972973
10901,123327.15404699738
10913,135160.0760456274
10916,103162.84403669725
10917,93300.98039215687
10918,84586.05851979346
10919,75783.60655737705
10920,92163.81578947368
10921,77125.0
10923,66573.67346938775
10924,99498.11616954474
10925,78636.65338645419
10926,73257.6530612245
10927,43418.07817589577
10928,58526.991150442474
10930,93288.38268792711
10931,53682.35294117647
10940,55627.52922208787
10941,64115.117891816924
10950,78674.10514541387
10952,99922.58320126783
10954,86448.16293929712
10956,128321.10834371108
10958,75250.0
