Zip Code,Location,City,Population,% Unemployment Rate,National Rank
14614,"43.157055, -77.615197","Rochester, New York",926,75.47%,#15
12970,"44.452573, -74.290050","Paul Smiths, New York","1,450",67.58%,#18
11430,"40.650916, -73.788526","Jamaica, New York",229,57.03%,#46
12742,"41.724328, -74.723518","Harris, New York",132,48.33%,#73
14068,"43.026309, -78.758472","Getzville, New York","10,027",38.20%,#129
12733,"41.727393, -74.606582","Fallsburg, New York","1,608",37.53%,#137
12786,"41.638630, -74.857203","White Lake, New York",665,33.63%,#202
14478,"42.572191, -77.128404","Keuka Park, New York","1,364",28.29%,#336
10474,"40.810203, -73.884437","Bronx, New York","11,354",27.37%,#372
13202,"43.043592, -76.150628","Syracuse, New York","5,434",26.84%,#396
14208,"42.914225, -78.851150","Buffalo, New York","13,207",26.25%,#421
14203,"42.848139, -78.847987","Buffalo, New York","1,009",26.15%,#428
10454,"40.805528, -73.916632","Bronx, New York","34,976",25.80%,#445
13820,"42.483429, -75.036905","Oneonta, New York","21,058",23.37%,#551
12493,"41.785589, -73.974095","West Park, New York",547,23.27%,#556
10035,"40.795487, -73.929501","New York, New York","32,702",22.96%,#579
10455,"40.814678, -73.908333","Bronx, New York","37,465",21.98%,#654
10030,"40.818492, -73.943283","New York, New York","25,847",21.89%,#661
11568,"40.786513, -73.598478","Old Westbury, New York","3,992",21.73%,#674
10457,"40.846687, -73.898374","Bronx, New York","69,048",21.41%,#709
13834,"42.543366, -74.958799","Portlandville, New York",170,20.89%,#748
14605,"43.168307, -77.601608","Rochester, New York","14,418",20.56%,#776
10044,"40.762050, -73.949933","New York, New York","9,520",20.48%,#782
10459,"40.825558, -73.893156","Bronx, New York","39,080",20.38%,#789
11205,"40.696771, -73.967061","Brooklyn, New York","35,622",20.33%,#794
11212,"40.662907, -73.912969","Brooklyn, New York","85,161",20.29%,#797
10456,"40.830877, -73.907954","Bronx, New York","76,656",20.27%,#801
12203,"42.678763, -73.845869","Albany, New York","32,866",20.24%,#803
12207,"42.658332, -73.746412","Albany, New York","2,187",20.19%,#807
10039,"40.826296, -73.937053","New York, New York","21,737",20.01%,#826
12305,"42.815918, -73.944331","Schenectady, New York","5,922",19.80%,#852
10451,"40.822092, -73.922612","Bronx, New York","40,961",19.63%,#866
14802,"42.254333, -77.789646","Alfred, New York","3,954",19.61%,#868
10453,"40.852779, -73.912332","Bronx, New York","76,775",19.59%,#870
12980,"44.560173, -74.589754","Saint Regis Falls, New York","1,347",19.52%,#878
14721,"42.000558, -78.251649","Ceres, New York",102,19.51%,#881
10027,"40.811407, -73.953564","New York, New York","56,168",19.31%,#907
12566,"41.622479, -74.340383","Pine Bush, New York","11,061",19.16%,#928
14204,"42.883587, -78.861199","Buffalo, New York","10,040",19.11%,#933
10460,"40.842724, -73.879745","Bronx, New York","53,707",19.07%,#939
11206,"40.702037, -73.942444","Brooklyn, New York","69,032",18.85%,#966
13408,"42.919020, -75.664315","Morrisville, New York","3,908",18.75%,#979
10452,"40.837763, -73.923314","Bronx, New York","72,138",18.62%,#998
11221,"40.691310, -73.927772","Brooklyn, New York","76,363",18.53%,"#1,010"
13301,"43.422141, -75.223686","Alder Creek, New York",219,18.39%,"#1,042"
13756,"42.020509, -75.104278","East Branch, New York",518,18.26%,"#1,061"
11233,"40.678089, -73.919867","Brooklyn, New York","61,955",18.25%,"#1,062"
12719,"41.483758, -74.916637","Barryville, New York","1,012",18.24%,"#1,063"
11692,"40.593163, -73.793803","Arverne, New York","15,893",18.22%,"#1,068"
14214,"42.939793, -78.841077","Buffalo, New York","21,860",18.16%,"#1,080"
13670,"44.128070, -75.067813","Oswegatchie, New York",613,18.02%,"#1,091"
11207,"40.670361, -73.893848","Brooklyn, New York","86,551",17.85%,"#1,121"
10458,"40.862831, -73.886395","Bronx, New York","77,840",17.70%,"#1,138"
10031,"40.825857, -73.949451","New York, New York","60,221",17.69%,"#1,141"
13144,"43.568747, -75.977023","Richland, New York","1,576",17.54%,"#1,166"
12449,"41.997728, -73.992872","Lake Katrine, New York","3,557",17.45%,"#1,177"
10032,"40.839194, -73.942591","New York, New York","63,842",17.39%,"#1,195"
13436,"43.723006, -74.642094","Raquette Lake, New York",123,17.30%,"#1,205"
