"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3932.8,0.0167,0.0154,0.1644,30480
2019-10-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,2121.88,-0.0274,-0.007,-0.0111,31935
2019-10-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,4300.37,0.0353,0.0441,0.136,35940
2019-10-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,1765.7,0.0029,0.0071,-0.0101,42846
2019-10-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2355.56,-0.0265,-0.0099,0.0018,35460
2019-10-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",5,1411.92,-0.0008,0.0052,-0.0143,39780
2019-10-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",6,3704.24,-0.0189,-0.0042,0.1787,12304
2019-10-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1425.93,0.0094,0.0176,-0.0044,30392
2019-10-31,"79936","TX","El Paso","El Paso County","El Paso",8,944.68,0.0051,0.0097,-0.0283,32413
2019-10-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",9,1664.5,0.0055,0.01,0.011,21635
2019-10-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",10,2231.85,0.0247,0.0433,0.1011,10853
2019-10-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",11,1790.04,0.0304,0.0369,0.0671,11433
2019-10-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",12,1479.11,0.0009,0.0142,0.0315,34063
2019-10-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",13,4475.18,0.0014,0.0029,0.0339,9876
2019-10-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",14,3445.88,0.0191,0.0358,0.0849,30758
2019-10-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",15,1331.94,-0.0015,-0.0057,-0.0268,28406
2019-10-31,"32162","FL","The Villages","Sumter County","The Villages",16,1595.05,0.0327,0.0097,-0.038,35430
2019-10-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",17,1932.78,-0.0201,0.0004,0.016,22361
2019-10-31,"11201","NY","New York-Newark-Jersey City","Kings County","New York",18,2909.09,0.0007,0.0145,0.0579,27301
2019-10-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",19,2169.66,0.0237,0.0264,0.0611,30104
2019-10-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",20,2134.06,0.027,0.0266,0.0094,43217
2019-10-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",21,2632.37,0.0024,0.0067,-0.0074,15036
2019-10-31,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",22,1380.78,0.0025,0.0031,-0.0123,30522
2019-10-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",23,1360,0.0006,0.008,-0.0003,24957
2019-10-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",24,3208.98,-0.0004,-0.0138,0.0482,7661
2019-10-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",25,3380.9,-0.0447,-0.0477,0.1004,7533
2019-10-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",26,1343.25,-0.0052,-0.015,-0.0288,32435
2019-10-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",27,1821.65,-0.0121,0.0026,0.0134,22073
2019-10-31,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",28,1547.99,-0.0122,-0.0182,-0.0364,29273
2019-10-31,"10011","NY","New York-Newark-Jersey City","New York County","New York",29,3915.24,0.0013,0.0042,0.1046,28279
2019-10-31,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",30,2356.01,0.0083,0.0142,0.0344,26116
2019-10-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",31,3943.33,0.0333,0.0163,0.1164,25055
2019-10-31,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",32,1295.67,0.0006,0.0009,0.0478,29350
2019-10-31,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",33,1550.89,0.015,0.02,-0.0038,30155
2019-10-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",34,1553.27,0.0215,0.0363,0.0169,37854
2019-10-31,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",35,823.42,0.0031,0.0035,-0.032,21713
2019-10-31,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",36,1202.98,0.0151,0.0259,0.0429,30444
2019-10-31,"79912","TX","El Paso","El Paso County","El Paso",37,1149.48,0.0112,0.0232,0.0132,22968
2019-10-31,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",38,1311.48,-0.0029,-0.0001,-0.0057,29826
2019-10-31,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",39,2321.56,0.0047,0.0112,0.0493,47475
2019-10-31,"37042","TN","Clarksville","Montgomery County","Clarksville",40,912.08,0.0257,0.039,-0.0036,30224
2019-10-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",41,2582.61,-0.0191,0.0053,0.0204,11566
2019-10-31,"73099","OK","Oklahoma City","Canadian County","Yukon",42,1161.5,0.0038,0.0061,-0.0096,28274
2019-10-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",43,3252.65,0.0114,0.0195,0.0196,12793
2019-10-31,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",44,2655.67,0.0105,0.0162,0.0311,20865
2019-10-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",45,1362.04,0.0132,0.0142,-0.073,32501
2019-10-31,"78245","TX","San Antonio-New Braunfels","Bexar County","San Antonio",46,1229.65,-0.0068,-0.0104,-0.0119,30031
2019-10-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",47,1753.04,-0.0053,-0.0105,-0.0399,30558
2019-10-31,"10462","NY","New York-Newark-Jersey City","Bronx County","New York",48,1717.09,0.0169,0.0368,0.0294,10391
2019-10-31,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",49,1964.87,0.0289,0.0788,0.1292,3899
2019-10-31,"60613","IL","Chicago-Naperville-Elgin","Cook County","Chicago",50,1801.68,0.0151,0.0272,0.0278,25624
2019-10-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",51,1384.45,0.0015,0.0069,-0.004,30002
2019-10-31,"10019","NY","New York-Newark-Jersey City","New York County","New York",52,3903.18,0.0158,0.0214,0.0559,21670
2019-10-31,"63376","MO","St. Louis","Saint Charles County","Saint Peters",53,1167.81,-0.0022,-0.0077,-0.0151,30034
2019-10-31,"10003","NY","New York-Newark-Jersey City","New York County","New York",54,4141.67,-0.0209,-0.0387,0.1331,23123
2019-10-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",55,1620.56,0.021,0.0335,0.0328,29854
2019-10-31,"60625","IL","Chicago-Naperville-Elgin","Cook County","Chicago",56,1707.04,0.0006,0.0102,0.0178,16026
2019-10-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",57,1473.83,0.0019,0.0102,-0.0099,30457
2019-10-31,"11230","NY","New York-Newark-Jersey City","Kings County","New York",58,2127.82,0.0133,0.0197,0.0715,17786
2019-10-31,"11212","NY","New York-Newark-Jersey City","Kings County","New York",59,2248.39,0.0487,0.0599,0.0915,7714
2019-10-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",60,1143.64,-0.0099,-0.0089,-0.0324,11531
2019-10-31,"10463","NY","New York-Newark-Jersey City","New York County","New York",61,2033.91,0.0072,0.0254,0.0661,22824
2019-10-31,"60629","IL","Chicago-Naperville-Elgin","Cook County","Chicago",62,1319.59,-0.0114,-0.0051,-0.0087,21712
2019-10-31,"11209","NY","New York-Newark-Jersey City","Kings County","New York",63,2108,0.0088,0.0081,0.0393,23221
