ave_sale_price,addr_zip
1507558.009,0
12458058.17,10001
2262497.945,10002
2103042.43,10003
9721584.779,10004
9156857.749,10005
3848211.413,10006
4254656.3,10007
1396027.82,10009
3371599.163,10010
3061715.662,10011
2983154.631,10012
5117624.529,10013
2678447.61,10014
2174266.574,10016
1620207.147,10017
7023968.952,10018
1986105.207,10019
2018799.334,10021
2759909.639,10022
1728976.944,10023
2141437.739,10024
1261219.791,10025
1061699.983,10026
1162503.425,10027
2200577.834,10028
1824572.013,10029
897269.4747,10030
1507425.656,10031
2292353.315,10032
1900435.783,10033
1627012.892,10034
2805059.569,10035
2044261.364,10036
2728411.302,10037
1680154.462,10038
1137557.99,10039
884069.8403,10040
1470118.676,10044
2206713.163,10065
2196958.858,10069
1648739.52,10075
8,10105
1761718.997,10128
2210000000,10167
806617.1959,10280
0,10281
1750800.9,10282
332364.3507,10301
263135.6858,10302
273157.2878,10303
392427.2866,10304
356318.0115,10305
333401.7323,10306
518529.9827,10307
342520.1462,10308
477942.775,10309
345671.6595,10310
382878.1241,10312
427661.8755,10314
1649486.034,10451
1612713.012,10452
1196725.202,10453
1332737.105,10454
908367.4568,10455
939084.5424,10456
935932.533,10457
1018063.152,10458
624756.2045,10459
614622.4732,10460
454921.8037,10461
229382.5355,10462
574750.0513,10463
397467.023,10464
351299.3912,10465
348959.3912,10466
612044.9014,10467
1438123.924,10468
314592.8589,10469
489024.8276,10470
616861.5594,10471
543956.2063,10472
579412.025,10473
700675.1014,10474
606778.9722,10475
736000,10803
339701.1286,11001
313875.8964,11004
366596.5,11005
332642.8571,11040
2462431.647,11101
800096.0596,11102
648507.8492,11103
815041.1768,11104
722802.0856,11105
570480.0518,11106
822032.2581,11109
2764771.495,11201
395291.5295,11203
592113.5609,11204
918836.6744,11205
863434.8195,11206
423586.7096,11207
385539.1734,11208
552296.6975,11209
516723.7022,11210
1151620.008,11211
411274.3006,11212
526373.3244,11213
508477.9491,11214
1238403.275,11215
993125.4138,11216
1480343.576,11217
755360.7066,11218
632255.1043,11219
650656.0451,11220
681255.5362,11221
1064589.538,11222
628073.5617,11223
491156.7012,11224
1004534.62,11225
966203.3795,11226
569157.5342,11228
473939.2238,11229
654183.9153,11230
1494359.639,11231
807079.4866,11232
593568.5795,11233
384887.2687,11234
451018.314,11235
305297.2263,11236
958916.61,11237
1020715.657,11238
451874.7143,11239
1700011.633,11249
804376.9841,11354
639397.0247,11355
568601.6427,11356
472416.5569,11357
604870.0763,11358
459823.8277,11360
558609.1214,11361
421191.4005,11362
575570.5039,11363
409503.8664,11364
474134.8474,11365
470501.4527,11366
319723.1557,11367
458372.516,11368
694675.0438,11369
390247.1406,11370
576025.726,11372
712909.7519,11373
560427.0215,11374
440322.7517,11375
525588.8442,11377
582537.0616,11378
420165.9521,11379
429443.7588,11385
258875.6421,11411
308289.4914,11412
333917.2778,11413
286993.5628,11414
299853.1168,11415
381266.3071,11416
393813.947,11417
430396.673,11418
317710.3515,11419
337193.0423,11420
394381.9932,11421
311580.3392,11422
708330.4135,11423
338907.4013,11426
352446.8358,11427
329043.5467,11428
314960.7959,11429
0,11430
467613.6041,11432
303862.1742,11433
348069.3291,11434
339874.541,11435
493854.2628,11436
314316.6828,11691
307633.2611,11692
310607.0845,11693
415242.4579,11694
